Gene Name,Chromosome Name,Gene Start (bp),Gene End (bp),Description
LOC_Os03g52390,Chr3,30078324,30078929,"PIII1 - Proteinase inhibitor II family protein precursor, expressed"
LOC_Os04g13280,Chr4,7360640,7361056,expressed protein
LOC_Os04g47590,Chr4,28224498,28240823,"niemann-Pick C1 protein precursor, putative, expressed"
LOC_Os12g33958,Chr12,20503266,20509254,"NADH-ubiquinone oxidoreductase 49 kDa subunit, putative, expressed"
LOC_Os05g01760,Chr5,453836,458282,"lysine ketoglutarate reductase trans-splicing related 1, putative, expressed"
LOC_Os10g40640,Chr10,21798920,21802986,"glycosyl transferase 8 domain containing protein, putative, expressed"
LOC_Os07g13890,Chr7,7942756,7944922,"OsFBX230 - F-box domain containing protein, expressed"
LOC_Os08g29590,Chr8,18156707,18160981,"zinc finger, C3HC4 type family protein, expressed"
LOC_Os11g39060,Chr11,23252864,23253271,expressed protein
LOC_Os10g06800,Chr10,3537913,3538890,"cyclin-dependent kinase G-2, putative, expressed"
LOC_Os09g07780,Chr9,3935205,3938411,"pentatricopeptide repeat protein PPR986-12, putative, expressed"
LOC_Os11g02470,Chr11,749998,751210,"WRKY52, expressed"
LOC_Os05g02080,Chr5,612964,619232,expressed protein
LOC_Os06g23060,Chr6,13447099,13447755,DEFL11 - Defensin and Defensin-like DEFL family
LOC_Os06g20050,Chr6,11498992,11503823,"NBS type disease resistance protein, putative, expressed"
LOC_Os03g52550,Chr3,30145383,30148308,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os11g43895,Chr11,26505492,26507776,expressed protein
LOC_Os03g03070,Chr3,1269856,1271783,"transcription factor, putative, expressed"
LOC_Os05g46570,Chr5,26962970,26965906,"WD domain, G-beta repeat domain containing protein, expressed"
LOC_Os09g19950,Chr9,11942965,11944253,"DUF260 domain containing protein, putative, expressed"
LOC_Os07g37570,Chr7,22506550,22509206,expressed protein
LOC_Os07g04630,Chr7,2054478,2054915,expressed protein
LOC_Os06g13200,Chr6,7231572,7235608,"proton-dependent oligopeptide transport, putative, expressed"
LOC_Os07g36240,Chr7,21658001,21658746,expressed protein
LOC_Os04g03930,Chr4,1793266,1794983,expressed protein
LOC_Os04g57640,Chr4,34314086,34320150,"RCD1, putative, expressed"
LOC_Os03g22570,Chr3,12976131,12988248,"MIF4G domain containing protein, putative, expressed"
LOC_Os12g37390,Chr12,22951705,22953983,expressed protein
LOC_Os09g24490,Chr9,14583473,14586345,"basic helix-loop-helix family protein, putative, expressed"
LOC_Os11g02510,Chr11,778412,778762,expressed protein
LOC_Os04g23689,Chr4,13550612,13550970,expressed protein
LOC_Os02g50000,Chr2,30554337,30556252,"GDSL-like lipase/acylhydrolase, putative, expressed"
LOC_Os01g13680,Chr1,7661046,7661285,expressed protein
LOC_Os03g05020,Chr3,2432922,2449215,"PIR, putative, expressed"
LOC_Os01g10890,Chr1,5809557,5811617,"CAMK_KIN1/SNF1/Nim1_like.8 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
LOC_Os01g71810,Chr1,41592216,41594985,"glycosyl hydrolases family 17, putative, expressed"
LOC_Os01g11360,Chr1,6108958,6111317,expressed protein
LOC_Os02g32540,Chr2,19260158,19262201,"ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed"
LOC_Os11g15670,Chr11,8883111,8885768,"NBS-LRR disease resistance protein, putative, expressed"
LOC_Os05g24890,Chr5,14414408,14416367,"tetratricopeptide-like helical, putative, expressed"
LOC_Os10g02720,Chr10,1066876,1072072,"OsWAK99 - OsWAK receptor-like protein kinase, expressed"
LOC_Os09g32964,Chr9,19674566,19677041,"peroxidase precursor, putative, expressed"
LOC_Os06g16790,Chr6,9715208,9724859,"go35 NBS-LRR, putative, expressed"
LOC_Os03g29660,Chr3,16910543,16913455,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os10g17980,Chr10,9111915,9115741,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os01g72630,Chr1,42138649,42143038,expressed protein
LOC_Os01g08880,Chr1,4454755,4457084,expressed protein
LOC_Os06g40090,Chr6,23863461,23864522,"VQ domain containing protein, putative, expressed"
LOC_Os06g04530,Chr6,1949424,1953325,"OsClp9 - Putative Clp protease homologue, expressed"
LOC_Os02g35329,Chr2,21250126,21251323,"RING-H2 finger protein ATL3F, putative, expressed"
LOC_Os09g10680,Chr9,5822784,5824771,hypothetical protein
LOC_Os07g48480,Chr7,29000466,29000696,expressed protein
LOC_Os01g49890,Chr1,28653963,28655948,"threonine synthase, chloroplast precursor, putative, expressed"
LOC_Os10g31830,Chr10,16693205,16697515,"ras-related protein, putative, expressed"
LOC_Os03g01900,Chr3,559227,559947,"40S ribosomal protein S17, putative, expressed"
LOC_Os07g32060,Chr7,19060762,19062609,"UDP-glucoronosyl/UDP-glucosyl transferase, putative, expressed"
LOC_Os04g11100,Chr4,6041453,6042507,hypothetical protein
LOC_Os02g33570,Chr2,19971499,19971978,expressed protein
LOC_Os10g12200,Chr10,6797449,6798792,"OsFBX380 - F-box domain containing protein, expressed"
LOC_Os12g09780,Chr12,5181775,5183333,expressed protein
LOC_Os06g04550,Chr6,1968625,1971806,expressed protein
LOC_Os07g28790,Chr7,16857192,16862643,"PAP fibrillin family domain containing protein, expressed"
LOC_Os11g16510,Chr11,9136895,9137837,"disease resistance protein RPM1, putative, expressed"
LOC_Os10g39230,Chr10,20940762,20947963,"tRNA-splicing endonuclease positive effector-related, putative, expressed"
LOC_Os07g10330,Chr7,5534726,5535361,expressed protein
LOC_Os03g20450,Chr3,11585300,11590366,expressed protein
LOC_Os07g19410,Chr7,11485811,11487202,expressed protein
LOC_Os07g28900,Chr7,16942185,16946832,"PPR repeat domain containing protein, putative, expressed"
LOC_Os04g53470,Chr4,31838142,31842070,expressed protein
LOC_Os01g28660,Chr1,16033395,16038898,expressed protein
LOC_Os04g52210,Chr4,31019367,31024260,"terpene synthase, putative, expressed"
LOC_Os05g28880,Chr5,16933714,16933962,expressed protein
LOC_Os09g38600,Chr9,22202078,22204168,expressed protein
LOC_Os10g05690,Chr10,2849596,2855809,"transmembrane amino acid transporter protein, putative, expressed"
LOC_Os12g38200,Chr12,23458337,23460708,"dof zinc finger domain containing protein, putative, expressed"
LOC_Os01g47360,Chr1,27055960,27056849,"GATA zinc finger domain containing protein, expressed"
LOC_Os03g26300,Chr3,15039317,15039856,"zinc finger, C3HC4 type domain containing protein, expressed"
LOC_Os07g28030,Chr7,16343610,16345859,"transposon protein, putative, unclassified, expressed"
LOC_Os06g22410,Chr6,13029814,13030182,expressed protein
LOC_Os12g05620,Chr12,2583894,2586406,hypothetical protein
LOC_Os06g18790,Chr6,10659718,10660689,"anthocyanidin 3-O-glucosyltransferase, putative, expressed"
LOC_Os01g43440,Chr1,24855937,24857421,"TOO MANY MOUTHS precursor, putative, expressed"
LOC_Os10g22100,Chr10,11414234,11417075,expressed protein
LOC_Os01g06150,Chr1,2930802,2932892,expressed protein
LOC_Os11g43170,Chr11,26046119,26047695,hypothetical protein
LOC_Os05g46030,Chr5,26685979,26704758,"myosin head family protein, expressed"
ChrSy.fgenesh.gene.32,ChrSy,228598,230226,expressed protein
LOC_Os11g10570,Chr11,5797007,5801720,"NBS-LRR disease resistance protein, putative, expressed"
LOC_Os04g50980,Chr4,30177233,30177733,hypothetical protein
LOC_Os02g32370,Chr2,19121903,19125842,"inositol hexaphosphate kinase, putative, expressed"
LOC_Os05g38120,Chr5,22353997,22358568,"homeodomain protein, putative, expressed"
LOC_Os06g06380,Chr6,2973521,2979496,"NBS-LRR type disease resistance protein, putative, expressed"
LOC_Os06g05240,Chr6,2358308,2365540,"zinc carboxypeptidase family protein, putative, expressed"
LOC_Os11g06360,Chr11,3055104,3055328,hypothetical protein
LOC_Os12g32290,Chr12,19495191,19496003,expressed protein
LOC_Os03g06570,Chr3,3310338,3312567,"IQ calmodulin-binding motif family protein, putative, expressed"
LOC_Os07g44140,Chr7,26382581,26385011,"cytochrome P450 72A1, putative, expressed"
LOC_Os11g39609,Chr11,23596922,23598259,OsFBDUF64 - F-box and DUF domain containing protein
LOC_Os03g48570,Chr3,27691450,27693150,expressed protein
LOC_Os12g05050,Chr12,2215862,2219491,"stem-specific protein TSJT1, putative, expressed"
LOC_Os02g44210,Chr2,26759910,26760434,expressed protein
LOC_Os11g11256,Chr11,6228270,6230973,expressed protein
LOC_Os12g09250,Chr12,4848847,4859757,"bZIP transcription factor domain containing protein, expressed"
LOC_Os02g27220,Chr2,16009509,16014483,"protein phosphatase 2C, putative, expressed"
LOC_Os01g28670,Chr1,16041548,16042229,hypothetical protein
LOC_Os02g14840,Chr2,8244347,8248444,"potassium channel KAT1, putative, expressed"
LOC_Os01g69890,Chr1,40379245,40379472,expressed protein
LOC_Os01g02120,Chr1,612564,615650,"osMFT2 MFT-Like2 homologous to Mother of FT and TFL1 gene; contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein, expressed"
LOC_Os01g68060,Chr1,39565751,39570176,"copine, putative, expressed"
LOC_Os04g57430,Chr4,34171618,34173061,"uncharacterized protein At4g06744 precursor, putative, expressed"
LOC_Os08g43670,Chr8,27602295,27603986,"RING-H2 finger protein ATL2B, putative, expressed"
LOC_Os12g32920,Chr12,19889417,19893264,"plant protein of unknown function domain containing protein, expressed"
LOC_Os03g33200,Chr3,18990180,18990890,expressed protein
LOC_Os01g01190,Chr1,89653,91521,"phosphoesterase family protein, putative, expressed"
LOC_Os02g13220,Chr2,7044617,7046245,"F-box family protein, putative, expressed"
LOC_Os09g12800,Chr9,7347438,7354032,"zinc finger Ran-binding domain-containing protein 2, putative, expressed"
LOC_Os04g34910,Chr4,21214944,21215985,expressed protein
LOC_Os08g38560,Chr8,24379092,24382986,"receptor-like protein kinase 2 precursor, putative, expressed"
LOC_Os06g49180,Chr6,29798150,29801547,"plant-specific domain TIGR01589 family protein, putative, expressed"
LOC_Os01g03290,Chr1,1333752,1334739,"seven in absentia protein family domain containing protein, expressed"
LOC_Os03g14258,Chr3,7751927,7752619,expressed protein
LOC_Os07g13360,Chr7,7666758,7667102,expressed protein
LOC_Os04g42380,Chr4,25076764,25079041,"ribosomal protein S17, putative, expressed"
LOC_Os02g46100,Chr2,28096979,28098033,"RING-H2 finger protein, putative, expressed"
LOC_Os08g41760,Chr8,26355928,26357323,"OsFBX304 - F-box domain containing protein, expressed"
LOC_Os03g58990,Chr3,33588717,33589406,"cupin domain containing protein, expressed"
LOC_Os06g42120,Chr6,25292060,25293333,"sulfotransferase domain containing protein, expressed"
LOC_Os02g02900,Chr2,1123522,1125414,expressed protein
LOC_Os08g29600,Chr8,18161058,18161614,"seed maturation protein PM41, putative, expressed"
LOC_Os01g68820,Chr1,39985223,39986498,expressed protein
LOC_Os09g13890,Chr9,8173211,8177505,"calmodulin binding protein, putative, expressed"
LOC_Os05g34530,Chr5,20471139,20471447,"auxin-inducible protein, putative, expressed"
LOC_Os06g01820,Chr6,470318,471926,expressed protein
LOC_Os10g10510,Chr10,5794555,5795914,expressed protein
LOC_Os01g32200,Chr1,17629789,17630779,hypothetical protein
LOC_Os03g41260,Chr3,22944456,22944740,hypothetical protein
LOC_Os02g07730,Chr2,4030929,4033572,"haloacid dehalogenase-like hydrolase domain-containing protein 3, putative, expressed"
LOC_Os06g42520,Chr6,25572394,25578526,"transposon protein, putative, unclassified, expressed"
LOC_Os01g10970,Chr1,5844702,5848945,"auxin-induced protein 5NG4, putative, expressed"
LOC_Os09g39620,Chr9,22736559,22741162,"protein kinase family protein, putative, expressed"
LOC_Os02g14890,Chr2,8292472,8293263,expressed protein
LOC_Os04g04410,Chr4,2098144,2101258,expressed protein
LOC_Os05g02570,Chr5,894978,896572,"F-box protein interaction domain containing protein, expressed"
LOC_Os07g10400,Chr7,5582400,5587543,"pentatricopeptide, putative, expressed"
LOC_Os02g20620,Chr2,12153845,12154630,"speckle-type POZ protein, putative, expressed"
LOC_Os10g12320,Chr10,6857302,6857640,expressed protein
LOC_Os08g03002,Chr8,1313424,1315206,"lectin-like receptor kinase 1, putative, expressed"
LOC_Os01g74380,Chr1,43081997,43083033,hypothetical protein
LOC_Os07g13370,Chr7,7668361,7668787,expressed protein
LOC_Os03g15390,Chr3,8415632,8419201,"GA17271-PA, putative, expressed"
LOC_Os04g51080,Chr4,30241588,30246851,"scramblase, putative, expressed"
LOC_Os10g11384,Chr10,6308334,6313262,"transposon protein, putative, CACTA, En/Spm sub-class, expressed"
LOC_Os05g39060,Chr5,22904351,22906060,expressed protein
LOC_Os03g56520,Chr3,32200590,32201281,expressed protein
LOC_Os02g27790,Chr2,16449536,16453254,"splicing factor 3B subunit 1, putative, expressed"
LOC_Os03g08080,Chr3,4129653,4131193,"YGGT family protein, putative, expressed"
LOC_Os07g30570,Chr7,18089267,18092087,"retrotransposon protein, putative, Ty3-gypsy subclass"
LOC_Os01g55790,Chr1,32130255,32130647,expressed protein
LOC_Os10g24800,Chr10,12753910,12754586,hypothetical protein
LOC_Os02g20340,Chr2,11977072,11980265,expressed protein
LOC_Os03g08600,Chr3,4428836,4434164,"glycosyl transferase, putative, expressed"
LOC_Os02g11710,Chr2,6024307,6025522,expressed protein
LOC_Os09g28240,Chr9,17149191,17150368,expressed protein
LOC_Os05g48760,Chr5,27944014,27948004,"protein of unknown function DUF1421 domain containing protein, expressed"
LOC_Os08g38760,Chr8,24503950,24514961,expressed protein
LOC_Os09g20960,Chr9,12625094,12625369,expressed protein
LOC_Os02g12640,Chr2,6595265,6595657,expressed protein
LOC_Os02g07870,Chr2,4119976,4127542,"ATP synthase, putative, expressed"
LOC_Os02g44680,Chr2,27077280,27079020,"allantoin permease, putative, expressed"
LOC_Os02g52780,Chr2,32276591,32281653,"bZIP transcription factor, putative, expressed"
LOC_Os11g08680,Chr11,4634034,4635218,expressed protein
LOC_Os06g19650,Chr6,11209825,11215343,expressed protein
LOC_Os06g13610,Chr6,7540774,7541864,expressed protein
LOC_Os06g48830,Chr6,29554258,29555028,hypothetical protein
LOC_Os06g23114,Chr6,13476487,13485209,"copper methylamine oxidase precursor, putative, expressed"
LOC_Os08g17320,Chr8,10590977,10593328,"protein kinase family protein, putative, expressed"
LOC_Os05g44540,Chr5,25910842,25911890,"MrBTB3 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with Meprin and TRAF Homology MATH-related domain, expressed"
LOC_Os04g11470,Chr4,6276246,6278453,"retrotransposon protein, putative, unclassified, expressed"
LOC_Os02g06330,Chr2,3164423,3165034,"AP2 domain containing protein, expressed"
LOC_Os03g10590,Chr3,5393933,5396987,"splicing factor, putative, expressed"
LOC_Os11g23232,Chr11,13390600,13391505,"transposon protein, putative, CACTA, En/Spm sub-class"
LOC_Os08g34570,Chr8,21708600,21709399,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain containing protein, expressed"
LOC_Os09g01420,Chr9,323434,323856,expressed protein
LOC_Os06g15610,Chr6,8846791,8847092,hypothetical protein
LOC_Os05g39540,Chr5,23204531,23213279,"metal cation transporter, putative, expressed"
LOC_Os06g12000,Chr6,6419602,6420378,expressed protein
LOC_Os12g16230,Chr12,9285017,9285334,"exostosin, putative, expressed"
LOC_Os05g13340,Chr5,7406349,7406853,expressed protein
LOC_Os04g47670,Chr4,28284070,28285205,expressed protein
LOC_Os08g32970,Chr8,20459698,20461621,"annexin, putative, expressed"
LOC_Os04g21050,Chr4,11831884,11832210,expressed protein
LOC_Os03g01460,Chr3,311887,312675,expressed protein
LOC_Os04g53080,Chr4,31613335,31613694,hypothetical protein
LOC_Os01g07090,Chr1,3332952,3336075,"5-azacytidine resistance protein azr1, putative, expressed"
ChrSy.fgenesh.gene.71,ChrSy,486039,490594,expressed protein
LOC_Os08g45140,Chr8,28343297,28345543,"OsGrx_S12 - glutaredoxin subgroup I, expressed"
LOC_Os02g58370,Chr2,35700415,35702064,expressed protein
LOC_Os03g43670,Chr3,24415883,24420073,"TKL_IRAK_CR4L.1 - The CR4L subfamily has homology with Crinkly4, expressed"
LOC_Os05g40760,Chr5,23890638,23896522,"transposon protein, putative, unclassified, expressed"
LOC_Os05g43850,Chr5,25497294,25501656,"OsFBT9 - F-box and tubby domain containing protein, expressed"
LOC_Os07g04460,Chr7,1974328,1974567,expressed protein
LOC_Os10g04500,Chr10,2133169,2133504,hypothetical protein
LOC_Os01g45760,Chr1,25994669,25996948,"YUC4, putative, expressed"
LOC_Os11g32600,Chr11,19232461,19232967,hypothetical protein
LOC_Os04g02120,Chr4,692760,695278,expressed protein
LOC_Os11g05440,Chr11,2445225,2445704,expressed protein
LOC_Os07g34640,Chr7,20764652,20769585,"pyruvate Pi dikinase regulatory protein, putative, expressed"
LOC_Os07g19460,Chr7,11505604,11509628,"mitochondrial carrier protein, putative, expressed"
LOC_Os01g68840,Chr1,39998110,39999091,"CRP6 - Cysteine-rich family protein precursor, expressed"
LOC_Os04g56080,Chr4,33399564,33402110,"S-locus-like receptor protein kinase, putative, expressed"
LOC_Os05g32190,Chr5,18769040,18772114,"tungus CG8253-PA, putative, expressed"
LOC_Os09g26370,Chr9,15927025,15928164,"DUF581 domain containing protein, expressed"
LOC_Os07g07730,Chr7,3887139,3887534,hypothetical protein
LOC_Os10g42066,Chr10,22629803,22631277,expressed protein
LOC_Os10g29760,Chr10,15472665,15473675,hypothetical protein
LOC_Os08g08210,Chr8,4691116,4696730,"SET domain containing protein, expressed"
LOC_Os05g48900,Chr5,28051693,28052945,"fasciclin domain containing protein, expressed"
LOC_Os01g70440,Chr1,40797873,40798525,"LEML1 - Anther-specific LEM1 family protein precursor, expressed"
LOC_Os01g67450,Chr1,39195689,39196972,"lipase, putative, expressed"
LOC_Os01g32120,Chr1,17581113,17582133,"OsCML11 - Calmodulin-related calcium sensor protein, expressed"
LOC_Os03g55880,Chr3,31824273,31824695,expressed protein
LOC_Os11g41520,Chr11,24899967,24903022,hypothetical protein
LOC_Os11g04760,Chr11,2027808,2029115,expressed protein
LOC_Os07g15860,Chr7,9215115,9216174,expressed protein
LOC_Os06g12760,Chr6,6963552,6963960,hypothetical protein
LOC_Os08g34470,Chr8,21630962,21631908,expressed protein
LOC_Os01g37460,Chr1,20935789,20937446,"zinc finger family protein, putative, expressed"
LOC_Os01g54910,Chr1,31575708,31583605,"GTP-binding protein typA/bipA, putative, expressed"
LOC_Os12g16010,Chr12,9124112,9125447,"sex determination protein tasselseed-2, putative, expressed"
LOC_Os08g31610,Chr8,19559110,19560474,hypothetical protein
LOC_Os08g04540,Chr8,2256007,2257920,"decarboxylase, putative, expressed"
